"year","round","circuit","Actual","Predicted"
2009,1,"albert_park","button","button"
2009,2,"sepang","button","button"
2009,3,"shanghai","vettel","vettel"
2009,4,"bahrain","button","button"
2009,5,"catalunya","button","button"
2009,6,"monaco","button","button"
2009,7,"istanbul","button","button"
2009,8,"silverstone","button","vettel"
2009,9,"nurburgring","button","webber"
2009,10,"hungaroring","hamilton","hamilton"
2009,11,"valencia","barrichello","barrichello"
2009,12,"spa","raikkonen","raikkonen"
2009,13,"monza","barrichello","barrichello"
2009,14,"marina_bay","vettel","hamilton"
2009,15,"suzuka","vettel","vettel"
2009,16,"interlagos","webber","webber"
2009,17,"yas_marina","vettel","vettel"
2013,1,"albert_park","vettel","raikkonen"
2013,2,"sepang","vettel","vettel"
2013,3,"shanghai","hamilton","alonso"
2013,4,"bahrain","vettel","vettel"
2013,5,"catalunya","alonso","alonso"
2013,6,"monaco","hamilton","rosberg"
2013,7,"villeneuve","vettel","vettel"
2013,8,"silverstone","rosberg","rosberg"
2013,9,"nurburgring","vettel","vettel"
2013,10,"hungaroring","hamilton","hamilton"
2013,11,"spa","vettel","vettel"
2013,12,"monza","vettel","vettel"
2013,13,"marina_bay","vettel","vettel"
2013,14,"yeongam","vettel","vettel"
2013,15,"suzuka","vettel","vettel"
2013,16,"buddh","vettel","vettel"
2013,17,"yas_marina","vettel","vettel"
2013,18,"americas","vettel","vettel"
2013,19,"interlagos","webber","vettel"
2021,1,"bahrain","hamilton","hamilton"
2021,2,"imola","max_verstappen","max_verstappen"
2021,3,"portimao","hamilton","hamilton"
2021,4,"catalunya","hamilton","hamilton"
2021,5,"monaco","hamilton","max_verstappen"
2021,6,"baku","perez","perez"
2021,7,"ricard","max_verstappen","max_verstappen"
2021,8,"red_bull_ring","max_verstappen","max_verstappen"
2021,9,"red_bull_ring","max_verstappen","max_verstappen"
2021,10,"silverstone","hamilton","hamilton"
2021,11,"hungaroring","hamilton","ocon"
2021,12,"spa","max_verstappen","max_verstappen"
2021,13,"zandvoort","max_verstappen","max_verstappen"
2021,14,"monza","ricciardo","ricciardo"
2021,15,"sochi","hamilton","hamilton"
2021,16,"istanbul","bottas","bottas"
2021,17,"americas","max_verstappen","max_verstappen"
2021,18,"rodriguez","max_verstappen","max_verstappen"
2021,19,"interlagos","hamilton","hamilton"
2021,20,"losail","hamilton","hamilton"
2021,21,"jeddah","hamilton","hamilton"
2021,22,"yas_marina","max_verstappen","max_verstappen"
